"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"78","ADH1B",-6.03311531102874,1.59810388429192,-78.0550148858549,0,0,2361.68949629841
"5116","ANGPTL1",-3.4563025145919,0.885557543390298,-68.3184014282558,0,0,1900.62556300558
"6438","LYVE1",-3.03697554249058,1.69239962927951,-66.236716174232,0,0,1804.85973440848
"14238","SCARA5",-4.0816163508017,-0.483651159145067,-64.3194328334181,0,0,1717.21633498187
"6063","ABCA8",-3.56982654228349,1.6466521860327,-62.0301570244889,0,0,1614.74986596689
"4168","CLEC3B",-2.89028213303828,3.12382216774653,-61.2333430847263,0,0,1579.36824766118
"1065","DNASE1L3",-3.47458971683075,0.334666382733958,-59.9252176527959,0,0,1521.41792061745
"1088","DPT",-3.90602737236871,1.76764739021878,-59.6014364505083,0,0,1507.45827834509
"3630","CCL14",-3.23490057025313,2.0650377459521,-59.5729212635198,0,0,1506.20922953048
"2994","FXYD1",-3.30850457734122,0.675481891895129,-57.208432903614,0,0,1403.57477211037
"14008","MAMDC2",-2.96037195323136,1.14199040550216,-55.2998922915518,0,0,1322.45289285693
"6842","MMRN1",-2.73077391606938,1.57209296535572,-54.9420561475274,0,0,1307.41037013121
"79","ADH1C",-4.45616467123346,-0.217382037697231,-54.4161371153272,0,0,1285.27837171796
"12277","CHRDL1",-3.8635441184364,1.8285457578904,-53.3632270633317,0,0,1241.59964018139
"12556","C1QTNF7",-2.74391934895347,0.128907543892419,-53.3665956408995,0,0,1241.47159440663
"2552","MYOC",-3.88597135699064,-2.58871601171386,-53.1324632367864,0,0,1230.97070057174
"13185","GCOM1",-2.70651985602176,1.99162423452545,-51.7043427210054,0,0,1173.56474736371
"13856","PI16",-3.65592364263985,-0.227003252002409,-51.1219384810863,0,0,1149.85260006044
"11127","CPED1",-2.39001070193147,2.52397173912653,-50.8579063986441,0,0,1139.32513506103
"452","C7",-4.2894617820725,3.18868042840786,-50.5681262280974,0,0,1127.64783672495
"2744","OGN",-3.44522021676817,1.04850329284868,-50.1734588169298,0,0,1111.8741915985
"1682","GSTM5",-2.67839366847819,0.461815141012982,-49.1267734097929,0,0,1070.23176752959
"191","AOX1",-3.32586993709348,2.28980859326986,-48.8437675484608,0,0,1059.18638608958
"4704","SDPR",-2.79019283863068,3.92611675632306,-48.468643699542,0,0,1044.43589354868
"2911","PGM5",-2.744794259956,2.77649813539934,-47.9846351623195,0,0,1025.59806719959
"11754","C2orf40",-3.40050382708975,0.0915513259043999,-47.7015312152981,0,0,1014.58623673047
"1425","FMO2",-3.10740822053941,1.89024016468068,-47.5214837336242,0,0,1007.66782164931
"2485","MT1M",-2.7341164512917,0.817788521733204,-47.3168824701943,0,0,999.721901322461
"232","AQP7",-3.20814959029614,-0.884651727498156,-47.1315322919939,0,0,992.324232309397
"6653","INMT",-2.49916093648465,2.37153200717718,-46.8504231192946,0,0,981.85216570485
"854","CRHBP",-3.08739119530358,-1.43318322314604,-46.7099599039668,0,0,975.893677709271
"1390","FIGF",-2.98284496904309,-1.31487782030112,-46.5303707588414,0,0,969.149750811864
"10834","LRRC2",-2.78777574004576,0.16922795844993,-46.3805706351213,0,0,963.811320998428
"4077","TEK",-2.04591153289698,2.96000610881023,-46.2024983858439,0,0,957.138487314692
"2211","LEPR",-1.98219126854974,3.50340339086687,-46.1082491158323,0,0,953.541306564675
"8877","LEPR",-1.98219126854974,3.50340339086687,-46.1082491158323,0,0,953.541306564675
"4184","TNXB",-2.68377092611189,4.26762338382749,-45.2535488427398,0,0,921.296037694182
"6062","ABCA9",-2.34650044116668,0.501269383310043,-45.1885970881654,0,0,918.862700884016
"473","CA4",-3.57932072235772,-0.923991283479706,-44.9605598394658,0,0,910.336636918208
"2426","NR3C2",-2.28162929126586,2.95374896825983,-44.5961756944824,0,0,896.855740642489
