"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2670","NME1",1.49161955487329,6.39694865328179,40.6758245470598,0,0,755.8135048744
"2336","MAZ",1.00395037767012,7.8197299499267,38.446378141308,2.04315353041647e-301,3.68259961626872e-299,679.672914453449
"5957","DDX39A",1.3093471936873,5.83360084454011,34.0088475304166,8.64184813102827e-240,9.57644800297652e-238,538.013423628175
"1502","GAPDH",1.08956500781504,11.5748594450584,33.4529639208008,1.74698035559678e-232,1.82761021816279e-230,521.110331031178
"11294","TTYH3",1.47120914786232,6.97700354395867,33.1470651421389,1.66637246814462e-228,1.66192880822957e-226,511.983084096616
"7716","PPP1R14B",1.29619269845139,5.98851501423811,32.8790095065807,4.84140068078707e-225,4.67273252803707e-223,504.078043177716
"9268","MRGBP",1.05661365189886,4.43318071298767,32.3439636029198,3.38961715111787e-218,3.09199223053191e-216,488.487374260072
"10849","SLC52A2",1.25261783141933,5.94906186717531,32.0273055280759,3.45710762193193e-214,3.07847202524414e-212,479.113696525463
"1530","KAT2A",1.16176365873562,5.89518343230927,31.9957371580211,8.64147071632878e-214,7.60449423036932e-212,478.196446790618
"11199","C16orf59",2.75963132621084,2.09543385917464,31.9440558928069,3.86608336752746e-213,3.36259344059365e-211,476.668407434107
"3705","SHMT2",1.06100695839751,6.74296645853115,31.5585855755724,2.59132901202937e-208,2.04033063262944e-206,465.536600945818
"13216","EME1",2.58686993500789,1.40469919545872,31.3792122468196,4.39632957690909e-206,3.33853251119594e-204,460.395015721803
"12777","PAQR4",2.20817998819745,4.96049032199614,31.3581188787431,8.02776376099131e-206,6.03494200323769e-204,460.087104479182
"12852","NR2C2AP",1.08482389794825,4.39701083149078,31.2221229995839,3.86500723005406e-204,2.83433863537298e-202,456.172035691912
"2228","LIMK1",1.25872457755007,5.815465329696,31.1207653234094,6.87493466567857e-203,4.89757250469292e-201,453.141693447962
"2677","NOP2",1.08047977549818,5.45843896784523,31.0936634780359,1.482421115065e-202,1.05104359627357e-200,452.399366230577
"9973","CBX8",1.20066629654782,2.94643481661217,30.9774909333203,3.9691346424084e-201,2.73632508066496e-199,449.344619146908
"2352","MCM7",1.22549080478901,6.9235981520068,30.8670573780657,8.95002761429403e-200,6.11380881780085e-198,445.897176902857
"6200","RNASEH2A",1.59918645515116,4.60280099852735,30.6799806137085,1.71786142272431e-197,1.14728602160516e-195,440.917408165159
"11583","MND1",2.81898982705447,0.891583870583306,30.5281891299993,1.19981781811946e-195,7.73675627545995e-194,436.348913038465
"3832","SNRPB",1.00169577493183,7.39875405200569,30.4229533977507,2.25529687914526e-194,1.4296288691531e-192,433.451298928132
"1363","FEN1",1.45777275820574,5.10171304608285,30.3857898444551,6.34270544166704e-194,3.97016206725268e-192,432.640617706807
"12462","RPUSD1",1.00084892533006,4.6909540053526,30.3796554469749,7.52240576712234e-194,4.68896626150626e-192,432.471624148964
"14603","KNOP1",1.06317549655486,4.26563084653035,30.1558558115051,3.72063050926712e-191,2.22642529674544e-189,426.337952796826
"4047","TCF3",1.0589195292238,6.28777798767188,30.1602448080298,3.2956208884636e-191,1.98001961812914e-189,426.225812781311
"2787","PAFAH1B3",1.73859039956079,4.99412060641413,29.9872841326148,3.8823946692993e-189,2.24249514489257e-187,421.677224323745
"1115","DTYMK",1.14264809656979,4.69026160416936,29.9160832151347,2.74688182074798e-188,1.56248486837984e-186,419.698285530249
"2407","MIF",1.23522022994172,8.21052242583844,29.9251369926771,2.14230696240629e-188,1.22324092204573e-186,419.695793629033
"12628","ZMYND19",1.08192341570965,4.24991449953563,29.5533574409847,5.51625783450582e-184,2.92635522000735e-182,409.859276383676
"9655","RCC2",1.16270028155352,7.42184611398385,29.5007897390903,2.29928437828812e-183,1.19851199648747e-181,408.138464829852
"2224","LIG1",1.18300399711869,5.17593054243531,29.412156833177,2.53969395230077e-182,1.29671745823957e-180,405.918495314427
"1721","H2AFX",1.50568305995636,5.50801424705499,29.3581317096908,1.0948562112882e-181,5.49632514123206e-180,404.455953864756
"9258","NEIL3",3.20400818792426,0.456555855496677,29.3533973661728,1.24428503451536e-181,6.22558666098655e-180,404.086470938964
"8844","FBXL19",1.19837250324885,4.77646892787672,29.311311151772,3.87720543181881e-181,1.92700974285745e-179,403.250977094799
"2153","KPNA2",1.59176087558273,6.42002000469194,29.0366430842638,6.24196730898423e-178,2.93647267114478e-176,395.72358190629
"2347","MCM2",1.82246021973995,5.69238514963463,28.9938799949285,1.9602390262741e-177,9.0790018059011e-176,394.684705760322
"625","CDC25C",3.42445451038383,1.15406530631957,28.9530653941386,5.83549078113583e-177,2.64542248744825e-175,393.468492933923
"11679","PSMG3",1.07228666150864,4.93230617375692,28.9145644873672,1.63107723781676e-176,7.34967333666831e-175,392.586800684084
"13145","C11orf84",1.21340146294561,4.48066353130216,28.762174321132,9.42866678290615e-175,4.1855446608984e-173,388.611032489876
"3906","SRM",1.0061698309284,6.07687312757987,28.7421966272577,1.60271505381218e-174,7.09367372929888e-173,387.86856465002
"11893","LMNB2",1.30682841526458,6.3156365590938,28.7292708772057,2.25870354594521e-174,9.90915104027575e-173,387.526747355339
"2150","KIF22",1.01285407067545,5.96640076364489,28.6646528875337,1.25285961405321e-173,5.40137747153778e-172,385.824263903505
"6885","AZI1",1.28307882797736,4.20727646244821,28.6507179764318,1.81205172543657e-173,7.78973960130205e-172,385.704687663044
"2827","PCNA",1.09959275265781,6.61998143288439,28.440986280497,4.59606742325314e-171,1.87861116535156e-169,379.885356264054
"4647","LAGE3",1.18355256416984,4.44217821169255,28.0737309871501,6.85976597548107e-167,2.58493952123921e-165,370.55125532967
"2196","STMN1",1.46730145479898,7.17899775384216,28.0610333511795,9.54546637025879e-167,3.57000442247679e-165,369.945460493981
"1132","E2F1",2.60903342795735,3.90980854557894,27.9653661448316,1.14577052341667e-165,4.14027222954431e-164,367.882603812147
"6026","TRAIP",1.79985142481187,2.14462960530773,27.9530412259138,1.57731114376354e-165,5.65865100976082e-164,367.524178678295
"10369","CHTF18",1.93309194888647,3.95984347305849,27.8898180520777,8.11340183357636e-165,2.86746148237967e-163,365.906204663612
"1334","FANCG",1.16600711472526,4.08523808297308,27.883676824751,9.5108907865815e-165,3.34783355687669e-163,365.664549354792
"7503","MTHFD1L",1.49339204310342,4.58671376851546,27.8124018918898,6.00203151944162e-164,2.09301611960015e-162,363.792645061843
"9988","SPC25",3.0434035617675,1.75647009809787,27.7958257483257,9.20702359912258e-164,3.18835817228874e-162,363.330099100082
"11975","TIGD5",1.05468871786986,3.50054784500032,27.5259394043719,9.46867062682252e-161,3.08608524133475e-159,356.535121016754
"9233","FANCI",2.13767749875248,4.80074491334514,27.4847960093042,2.71194556673593e-160,8.76257142081414e-159,355.443762945523
"1483","GABRD",2.8885057131485,0.694262754439651,27.4875837648562,2.52542798246817e-160,8.17757632418263e-159,355.34085350533
"11874","SUV420H2",1.1755434051248,3.18220827213434,27.3820553106833,3.73164239749596e-159,1.17527095297978e-157,352.903527427622
"9043","TMEM132A",2.38024823905015,5.59890907000908,27.2032211362232,3.50841902218183e-157,1.08666560190145e-155,348.207446691289
"8105","DONSON",1.30483837633845,3.56309926453364,27.1774008830254,6.74667998890733e-157,2.07249142985736e-155,347.701911889802
"10723","CENPM",2.64274920713245,2.57414352618399,27.0737692986547,9.25832060625758e-156,2.79242895704866e-154,345.080657471047
"1072","DNMT1",1.06984471884966,6.1968604810993,27.0383200480751,2.26339614561766e-155,6.77208126768804e-154,343.832457707955
"7330","ORC6",2.67381519868335,2.3850545087129,26.9832387370034,9.05994634106377e-155,2.66804719020303e-153,342.789220342442
"6260","LEPREL4",1.31776178161281,4.91320520094762,26.816101808755,6.00420310987012e-153,1.72736304853187e-151,338.438941218219
"8051","PSMC3IP",1.63557824365513,2.32680327281399,26.779210183737,1.51063492391488e-152,4.32105133112171e-151,337.746499238516
"8056","SAC3D1",1.24258597621671,3.46459206111685,26.7452830193357,3.52569910656491e-152,1.00274636186713e-150,336.864435977712
"490","CAD",1.00908159348113,5.97977845933375,26.735377119649,4.51483007517629e-152,1.27920185463328e-150,336.259586457497
"10441","LEPRE1",1.02861744579599,5.26115907299754,26.7024880992025,1.02557230813578e-151,2.87313890069498e-150,335.525540010065
"14872","FAM72D",2.47716523084213,0.95169186771484,26.6721626821503,2.18364275257806e-151,6.07198802575609e-150,334.922701181817
"5816","CHAF1A",1.30542309539304,4.49891091535992,26.5820902413359,2.05186285786771e-150,5.60143583096732e-149,332.686414008074
"3864","SOX12",1.29180913685481,5.15843351768964,26.5781749417163,2.26139882781067e-150,6.16220882769537e-149,332.483525255616
"5107","PRC1",2.40017408231613,4.88484279245416,26.5076618350952,1.3001198932432e-149,3.48562609371295e-148,330.91747924999
"9461","ZNF692",1.29384038198385,4.45425961167138,26.3535790086664,5.85839233308862e-148,1.52952093024443e-146,327.046134793443
"8611","GINS2",2.14656383918466,3.38232418309386,26.3421124521424,7.77172446671924e-148,2.02552261362578e-146,326.933815394125
"10618","CENPH",1.66078200257271,2.94033927973678,26.3406355825034,8.05976846712106e-148,2.09694150031532e-146,326.897073134536
"5037","TIMELESS",1.24377191659451,5.2276956679786,26.3256093622458,1.16704243676816e-147,3.01536353265142e-146,326.236476167099
"11130","DSN1",1.06997611807526,4.33469607603304,26.3100252835514,1.71291306693332e-147,4.41053003120869e-146,325.965002263955
"13874","PPP1R35",1.10392196297638,3.77619059599431,26.2506704510861,7.37335201039956e-147,1.8791370711342e-145,324.593185851516
"8991","SPDL1",1.2213889700563,3.47957916993299,26.2383519714029,9.97872592157314e-147,2.5259177628889e-145,324.329607600785
"3417","RFC4",1.52912416688418,4.1056340445919,26.2285626929553,1.26901365818063e-146,3.19603439838085e-145,324.054341833791
"1301","EZH2",2.38879508836939,3.76807451319423,26.2243312609515,1.40792370297249e-146,3.53992245318797e-145,324.040637075753
"5325","RECQL4",2.46619062945306,3.97975720138455,26.2073145401754,2.1376511833809e-146,5.35666025182216e-145,323.617284040841
"12518","GPRIN1",2.64239801930465,2.89252363767734,26.19080500892,3.20473127148031e-146,7.97716802351837e-145,323.208959723033
"2492","NUDT1",1.52784442723932,3.72609117087371,26.1774442726029,4.4466814229353e-146,1.1031899516934e-144,322.842946704907
"13947","KCTD13",1.00496747909139,3.95895165405817,26.1800803538782,4.16846436786857e-146,1.03588416849358e-144,322.827956431279
"12260","CENPL",1.30530320135164,2.82777910883195,26.1119175904803,2.21182714871163e-145,5.43332251965944e-144,321.291072122615
"8778","FAM64A",3.12787034328902,1.82677210912961,26.0765812759696,5.24610894093551e-145,1.28238218556201e-143,320.322648708303
"13205","B3GNTL1",1.06017671497813,2.10287928194449,26.0704604121303,6.09205693307314e-145,1.48674015854444e-143,320.290427432118
"7991","UBE2T",2.59616282440449,3.35286980303693,26.0596182377882,7.9385121454731e-145,1.93420426215436e-143,320.025819830736
"11457","MXD3",1.25602627508702,3.37586147536845,25.988676570003,4.47724477028066e-144,1.0733907333878e-142,318.255927359294
"14671","DDX12P",1.76327470942307,2.09021436861798,25.9554384156962,1.00551989908497e-143,2.38392673380524e-142,317.478007129088
"7900","UBE2S",1.88178321987505,4.31295988368868,25.9102478297444,3.01647508595305e-143,7.10653028123742e-142,316.310251229796
"550","CCNB1",2.21918577010523,4.8812064400093,25.8169134566938,2.90140388364601e-142,6.65720891094239e-141,314.010379195867
"11456","CDCA3",2.78620777203448,2.89965805867468,25.7944099858757,5.00241399628855e-142,1.13905804238169e-140,313.581085130629
"4388","XRCC2",2.11172313150525,1.06183389628387,25.7380873628407,1.9520602422596e-141,4.40464875176524e-140,312.144051128649
"7677","FBXL6",1.17724697519397,4.45201445543991,25.7200959576771,3.01399234057629e-141,6.77016898123444e-140,311.616847326068
"2351","MCM6",1.15406227980357,5.55657814459506,25.6970157016647,5.25995431236928e-141,1.17974387575779e-139,310.8797387016
"11304","PRR7",2.0936316039295,1.65211773147567,25.6794480752419,8.03401257146816e-141,1.79118968806503e-139,310.775966064411
"4666","CDC45",3.62893194201174,2.40805307777788,25.6664161033279,1.09981440085387e-140,2.44113107370533e-139,310.426750800548
"4258","TYMS",2.0358465428036,4.76748210791085,25.6381552584538,2.17208929951414e-140,4.78563415621967e-139,309.70801016316
"4087","TFAP4",1.06741909586335,3.83906886847991,25.6189586303141,3.44729488571559e-140,7.58404874857431e-139,309.254322538704
"13813","SKA1",2.93919065884316,1.89690713579047,25.5775087052181,9.33629527106867e-140,2.03899236868886e-138,308.303620198658
"694","CHEK1",1.39654020873316,3.32118932227737,25.5605666225632,1.40235245593088e-139,3.05373984581163e-138,307.941302166589
"8322","HN1",1.24765072932411,6.36758675696564,25.5738859178939,1.01850659974502e-139,2.22111643326318e-138,307.848373178323
"11396","CDT1",2.90533594316155,3.72875843590108,25.4986836461276,6.18505159762934e-139,1.3237249198932e-137,306.501299598721
"6607","ZWINT",2.03145628551387,4.42751789433416,25.3941568084918,7.53094599750905e-138,1.56912189585982e-136,303.908079867839
"671","CENPA",3.3083875229104,1.66325269720806,25.3610665725345,1.65835710730783e-137,3.44569754518406e-136,303.105018545311
"11880","C19orf48",1.25962475208865,5.84896679550048,25.3572439010115,1.81659173842868e-137,3.76923889138601e-136,302.725024104992
"6745","OIP5",2.41641115507757,1.27008189001138,25.2980062822172,7.44605918807744e-137,1.5259321295019e-135,301.636337848999
"6138","TACC3",1.95653750251073,5.03441609302414,25.2954887737816,7.90562525737327e-137,1.6156851618894e-135,301.473355881892
"3035","POLD1",1.11756075898573,4.85834912713655,25.2783308167548,1.18889646935943e-136,2.41984914035607e-135,300.972942110958
"4389","XRCC3",1.30532878760532,3.80025790940735,25.2688128793825,1.49073403802007e-136,3.02186737246344e-135,300.929480637523
"12198","KIFC2",1.58750689074063,4.64175276537818,25.2714312020335,1.40079239057262e-136,2.84339947937128e-135,300.909429558837
"7743","CKAP2",1.39003019686226,4.81639598302468,25.2132618695925,5.57469978257828e-136,1.11643251335169e-134,299.473016444921
"11196","DBF4B",1.19190812786795,2.92205213763535,25.1984665525841,7.91770213857537e-136,1.57931765324117e-134,299.33956957938
"10651","MARCKSL1",1.40667772495221,7.59633272679994,25.2095635126219,6.08580986956538e-136,1.21716197391308e-134,299.107214242955
"10721","GGCT",1.00170775284124,5.78848927596915,25.1748817062985,1.3846457261366e-135,2.75090306281588e-134,298.381321687854
"14300","KLHL17",1.21977810572752,2.56596832541452,25.0925032973974,9.7191775955208e-135,1.91062939328503e-133,296.861217048478
"12464","MTFR2",2.34134337566532,1.0784423524454,25.0691868038251,1.68547896213863e-134,3.29174481378511e-133,296.230024331051
"2342","MC1R",1.66117836622785,2.64730967440691,25.0548155578492,2.36588164390718e-134,4.59060822215971e-133,295.981058636714
"8020","RACGAP1",1.71010677446535,4.85955365635525,25.0472336439736,2.82916980021081e-134,5.47534026017512e-133,295.590055503534
"2350","MCM5",1.05221341681166,5.93226225007452,25.0208500265595,5.26940054764857e-134,1.01454610286773e-132,294.738141199251
"655","CDKN3",2.81715615604403,2.31969881513523,24.9637267013162,2.02164678896643e-133,3.85763213812982e-132,293.806684199445
"4706","RAD54L",2.92592912446388,2.28961952203582,24.9035766441216,8.30469616009703e-133,1.56668669047984e-131,292.392410224142
"12408","CAMK2N2",2.54653402570586,0.556456147137788,24.8872544030547,1.21789603292315e-132,2.28603822490971e-131,291.913923187248
"5128","PKMYT1",3.66922932177917,3.15921936105467,24.8528433201322,2.72814210810485e-132,5.10162574215607e-131,291.21759978842
"5578","KNTC1",1.66637944110127,4.2156124081325,24.8296375763312,4.69708736705429e-132,8.72899714424002e-131,290.578835634299
"10926","CENPU",2.10762853928705,3.74789211527339,24.8051681697804,8.32587077003963e-132,1.53582030480632e-130,290.106269322989
"13840","SKA3",3.01557256492551,2.2859616531726,24.790908284115,1.16199960796788e-131,2.14082686394083e-130,289.759842549898
"727","CKS2",1.76822336368652,4.51299212421622,24.7556479629697,2.64776277570921e-131,4.85423175546688e-130,288.834797631025
"7969","ATAD2",1.51462252009854,5.23639823981802,24.670066628744,1.94596417263747e-130,3.5116554912734e-129,286.694594497495
"9356","MCM10",3.14456113310878,2.0534549147857,24.5610477714763,2.44793534765377e-129,4.29321369295432e-128,284.41276225337
"10414","CENPK",2.3310064673041,1.7344049848312,24.5402374577904,3.96482760492186e-129,6.91303274704324e-128,283.953138243337
"13875","GPC2",2.57686560579755,0.15223588055581,24.5109910062775,7.80335158123736e-129,1.35270150237904e-127,283.154609462911
"2358","MDK",1.83880274847085,6.94804077292989,24.5177090766566,6.67977827293813e-129,1.15927474435214e-127,282.980620085832
"13214","KIF18B",3.73333093488317,2.73627819183482,24.4850636597904,1.42137198165032e-128,2.45539547869385e-127,282.670075863591
"9259","TMEM206",1.20414491656715,3.43641693740414,24.4769994470231,1.71261197680489e-128,2.95169068813378e-127,282.442932676665
"8530","GTSE1",3.08434467824063,2.70506551307083,24.4617883785209,2.43382124984904e-128,4.18986949341101e-127,282.160217065598
"12389","TBC1D31",1.07995495308915,2.90264642109358,24.443285231462,3.73111531103526e-128,6.3864399374242e-127,281.712685605155
"10490","CDH24",1.63150124676543,3.23663160416773,24.4233966181305,5.90396832986775e-128,1.00481645295588e-126,281.263174301453
"10805","CENPO",1.28470527357511,2.59652484418551,24.3763353557728,1.74653936727094e-127,2.96238423292214e-126,280.206071499434
"9394","PLXNA3",1.20588086082342,5.49616396573675,24.2901516161388,1.26680059096476e-126,2.12697383174331e-125,277.8373557896
"12236","C19orf40",1.17572185767281,1.11801339972552,24.2648461313198,2.26395515120745e-126,3.77578250413193e-125,277.648902969074
"13412","CCDC167",1.11305848632446,3.84783884957879,24.2580009405594,2.6487296757614e-126,4.39789078239629e-125,277.366539282156
"14831","FAM72B",2.34822067764676,2.03418295828633,24.246713313266,3.43092813306507e-126,5.67145689178491e-125,277.229962372825
"8977","NCAPG2",1.35316504324886,4.50373768869349,24.1839156007008,1.44460814003443e-125,2.35931635097327e-124,275.59221829819
"1924","IBSP",3.06163309477563,-1.95968187245282,24.1837232557537,1.45097577852369e-125,2.36713169538871e-124,275.379488960206
"3307","PVT1",2.06044410628973,2.03723436175265,24.153226419972,2.91301518638479e-125,4.72654090979571e-124,275.109890250463
"8920","ERCC6L",2.4456494159432,1.51915421586194,24.1435740687834,3.63138597530993e-125,5.86668835752015e-124,274.853289665728
"13353","SGOL1",2.62547982184848,0.9512213700992,24.1320151338549,4.72788125499814e-125,7.62989251076291e-124,274.547676066145
"12555","C1QTNF6",1.73764468568997,4.28723467835937,24.1271434065031,5.28384224174328e-125,8.50874918584278e-124,274.387267806504
"2651","TONSL",1.83266570498161,3.94052607376258,24.1188873817526,6.37903398743064e-125,1.02393077738157e-123,274.252605001511
"4186","TOP2A",3.41338889527636,5.70060395289611,24.1200493411338,6.21216674159127e-125,9.9821712625355e-124,274.235138840459
"9631","PBK",3.24066566550283,2.63667871299103,24.0682958295593,2.02069902245574e-124,3.21250344058851e-123,273.163721725007
"11468","NUF2",3.3968405065888,2.50948726431039,24.0601100246205,2.43464622643719e-124,3.86648700079621e-123,272.967228206713
"8713","C21orf58",1.52672035021501,2.17636180481503,24.0518447750021,2.93853482989144e-124,4.64698531238646e-123,272.816597552664
"12147","KNSTRN",1.06385314168615,3.9493904892481,24.0585688379383,2.52157024714831e-124,4.000285354967e-123,272.790477056896
"2349","MCM4",1.41983427158663,5.87654315017924,24.0536589231969,2.81969189665345e-124,4.46376621946409e-123,272.420887869924
"9521","C1orf112",1.31898921697257,2.98899292844632,23.9861559158677,1.3077521179865e-123,2.04216823435052e-122,271.290805222227
"9343","HJURP",3.48733072465114,2.89413845014111,23.9410930161678,3.63428322433232e-123,5.65165041954382e-122,270.287617293431
"5735","NCAPD2",1.06670534645731,6.329628860428,23.8895462004626,1.16754775013053e-122,1.7988171309941e-121,268.627654728124
"1449","CENPI",2.43126899271221,0.380303976577926,23.82276385687,5.27836266510505e-122,8.00043621782893e-121,267.536305855001
"5180","EXO1",3.07809170134988,2.10047877897118,23.7741305480418,1.57991220353917e-121,2.37066063840983e-120,266.513960341969
